id=1, plug=CYAN OCTAGON, leftSocket=MAGENTA CIRCLE, rightSocket=WHITE CIRCLE, data=------3-3----2-2-----
id=87, plug=CYAN PENTAGON, leftSocket=GREEN OCTAGON, rightSocket=BLUE CIRCLE, data=------3-3----2-2----1
id=88, plug=WHITE CIRCLE, leftSocket=CYAN STAR, rightSocket=YELLOW CIRCLE, data=----3------2--------1
id=89, plug=YELLOW SQUARE, leftSocket=BLACK STAR, rightSocket=YELLOW OCTAGON, data=-----3------2-------1
id=90, plug=BLUE PENTAGON, leftSocket=BLUE PENTAGON, rightSocket=RED DIAMOND, data=1--------------------
id=91, plug=WHITE PENTAGON, leftSocket=BLACK TRIANGLE, rightSocket=MAGENTA DIAMOND, data=--------------------1
id=92, plug=BLUE OCTAGON, leftSocket=CYAN SQUARE, rightSocket=BLUE SQUARE, data=1------3------2------
id=93, plug=RED STAR, leftSocket=MAGENTA HEXAGON, rightSocket=GREEN HEXAGON, data=-----3------2--------
id=94, plug=MAGENTA CIRCLE, leftSocket=WHITE STAR, rightSocket=BLACK PENTAGON, data=1------3------2------
id=95, plug=BLUE OCTAGON, leftSocket=MAGENTA HEXAGON, rightSocket=YELLOW SQUARE, data=-----3------2--------
id=96, plug=YELLOW DIAMOND, leftSocket=GREEN DIAMOND, rightSocket=GREEN OCTAGON, data=--------------------1
id=97, plug=MAGENTA OCTAGON, leftSocket=YELLOW STAR, rightSocket=WHITE CIRCLE, data=---------------------
id=98, plug=GREEN STAR, leftSocket=BLACK PENTAGON, rightSocket=WHITE STAR, data=1--------------------
id=99, plug=GREEN STAR, leftSocket=WHITE DIAMOND, rightSocket=YELLOW SQUARE, data=--------------------1
id=100, plug=BLUE SQUARE, leftSocket=YELLOW OCTAGON, rightSocket=WHITE OCTAGON, data=-----3------2-------1
id=101, plug=MAGENTA HEXAGON, leftSocket=BLACK PENTAGON, rightSocket=GREEN DIAMOND, data=------3-3----2-2----1
id=102, plug=GREEN SQUARE, leftSocket=GREEN HEXAGON, rightSocket=CYAN DIAMOND, data=1--------------------
id=103, plug=RED OCTAGON, leftSocket=BLUE OCTAGON, rightSocket=CYAN PENTAGON, data=----3------2--------1
id=104, plug=YELLOW HEXAGON, leftSocket=YELLOW OCTAGON, rightSocket=BLACK SQUARE, data=---------------------
id=105, plug=BLUE CIRCLE, leftSocket=BLACK PENTAGON, rightSocket=RED OCTAGON, data=---------------------
id=106, plug=BLACK HEXAGON, leftSocket=BLUE SQUARE, rightSocket=CYAN DIAMOND, data=1------3------2------
id=107, plug=GREEN STAR, leftSocket=MAGENTA TRIANGLE, rightSocket=BLUE TRIANGLE, data=-----3-3----2-2------
id=108, plug=BLACK TRIANGLE, leftSocket=GREEN PENTAGON, rightSocket=YELLOW STAR, data=------3-3----2-2-----
id=109, plug=YELLOW CIRCLE, leftSocket=WHITE SQUARE, rightSocket=CYAN CIRCLE, data=--------------------1
id=110, plug=YELLOW CIRCLE, leftSocket=BLACK OCTAGON, rightSocket=CYAN STAR, data=1--------------------
id=111, plug=YELLOW PENTAGON, leftSocket=BLUE STAR, rightSocket=GREEN CIRCLE, data=1-----3-3----2-2-----
id=112, plug=BLACK HEXAGON, leftSocket=RED PENTAGON, rightSocket=RED HEXAGON, data=---------------------
id=113, plug=MAGENTA TRIANGLE, leftSocket=YELLOW DIAMOND, rightSocket=BLACK DIAMOND, data=--------------------1
id=114, plug=MAGENTA TRIANGLE, leftSocket=GREEN CIRCLE, rightSocket=GREEN STAR, data=1----3-3----2-2------
id=115, plug=CYAN OCTAGON, leftSocket=BLUE PENTAGON, rightSocket=BLACK CIRCLE, data=-----3------2--------
id=116, plug=WHITE DIAMOND, leftSocket=MAGENTA CIRCLE, rightSocket=MAGENTA SQUARE, data=--------------------1
id=117, plug=BLACK OCTAGON, leftSocket=MAGENTA CIRCLE, rightSocket=WHITE TRIANGLE, data=---------------------
id=118, plug=BLUE HEXAGON, leftSocket=BLUE TRIANGLE, rightSocket=RED OCTAGON, data=---------------------
id=119, plug=WHITE CIRCLE, leftSocket=CYAN SQUARE, rightSocket=CYAN SQUARE, data=------3--3---2--2---1
id=120, plug=MAGENTA OCTAGON, leftSocket=RED SQUARE, rightSocket=CYAN CIRCLE, data=----3------2--------1
id=121, plug=MAGENTA DIAMOND, leftSocket=BLACK OCTAGON, rightSocket=GREEN STAR, data=------3--3---2--2----
id=122, plug=CYAN OCTAGON, leftSocket=RED PENTAGON, rightSocket=WHITE TRIANGLE, data=-----3------2-------1
id=123, plug=CYAN TRIANGLE, leftSocket=MAGENTA STAR, rightSocket=RED OCTAGON, data=1--------------------
