A=5083 B=5388 C=5715 X=197127975 Y=6937747504 Z=10436823171 M=4593
A=5870 B=7101 C=9362 X=857187442 Y=1467117410 Z=85102091821 M=3369
A=9451 B=3346 C=8320 X=753364050 Y=6750523987 Z=94155245747 M=4300
A=2873 B=4016 C=7085 X=274771634 Y=9947960660 Z=71260570894 M=1763
A=2297 B=4787 C=8825 X=408581040 Y=5245690801 Z=54547391152 M=6859
A=7054 B=3896 C=8278 X=410001552 Y=1168459742 Z=65094464116 M=7865
A=5033 B=8545 C=5942 X=278606162 Y=1728919025 Z=11135282047 M=6620
A=4973 B=4345 C=8299 X=235997000 Y=6105710544 Z=69915202727 M=3284
A=5003 B=3100 C=8797 X=851928784 Y=4776784563 Z=97853035984 M=9464
A=4418 B=6800 C=8363 X=189070815 Y=2137347867 Z=41243552710 M=4985
A=4936 B=6568 C=9493 X=451364600 Y=3480048235 Z=10791405354 M=5778
A=5151 B=5822 C=6208 X=162430864 Y=7882486449 Z=74709132640 M=1625
A=7332 B=9367 C=8632 X=560640072 Y=3247216323 Z=81721120728 M=5563
A=5216 B=3340 C=7625 X=908958354 Y=3290045423 Z=50852149838 M=5215
A=8572 B=6637 C=6924 X=985107840 Y=6650436224 Z=25367532720 M=8848
A=3958 B=7909 C=8358 X=798177517 Y=4565669111 Z=26105740506 M=3199
A=5878 B=3133 C=8177 X=974279954 Y=4938194998 Z=66560536264 M=5710
A=3258 B=4670 C=5827 X=333633038 Y=2105507798 Z=52411282463 M=5136
A=2717 B=3126 C=9199 X=334021084 Y=3327501301 Z=21734501643 M=9926
A=2186 B=9169 C=7247 X=993454647 Y=8876396909 Z=27149247122 M=3250
A=2295 B=4043 C=9345 X=603669902 Y=9771232419 Z=99569093362 M=3009
A=2884 B=5757 C=9596 X=447597851 Y=1265456486 Z=49985583564 M=5760
A=3028 B=7306 C=9351 X=920650827 Y=1978123663 Z=15437028279 M=1427
A=8275 B=4690 C=5107 X=170528357 Y=6814465351 Z=63349708920 M=3619
A=7894 B=4661 C=6128 X=248488358 Y=5262442657 Z=40055533572 M=2495
A=2510 B=3888 C=6939 X=445181368 Y=9766909027 Z=67400796043 M=7731
A=8432 B=9931 C=7923 X=169749805 Y=3603417933 Z=62040094232 M=9123
A=6533 B=3275 C=7147 X=205430286 Y=3756651581 Z=65526472034 M=5230
A=8925 B=8014 C=7548 X=760028494 Y=3142090275 Z=51588148303 M=4433
A=2458 B=4216 C=5632 X=105994548 Y=8142235890 Z=36867571918 M=6443
A=7943 B=5226 C=9979 X=124070185 Y=3290562368 Z=27653337723 M=5049
A=3493 B=6966 C=7029 X=378741807 Y=3623588156 Z=38722481057 M=8752
A=5318 B=8982 C=7703 X=885280238 Y=2026474739 Z=85135021516 M=9823
A=2070 B=5120 C=6785 X=262845190 Y=1426641630 Z=94295758756 M=6827
A=8622 B=9366 C=6121 X=825754411 Y=2474404786 Z=19364703137 M=5804
A=4985 B=9451 C=7967 X=375397013 Y=8813096860 Z=65325947535 M=5750
A=9444 B=9912 C=6456 X=110136597 Y=3272398465 Z=26870551584 M=5281
A=3471 B=8128 C=5489 X=857023682 Y=7070301111 Z=49500703464 M=7339
A=5128 B=3588 C=5760 X=905627158 Y=4859503666 Z=63566385562 M=4090
A=2414 B=3907 C=9588 X=499740895 Y=4061057349 Z=40902136562 M=9108
A=9318 B=3819 C=5865 X=110967061 Y=8759278402 Z=23139186430 M=3195
A=8379 B=7732 C=7351 X=751896407 Y=7921011744 Z=90739729988 M=4641
A=6808 B=3931 C=6787 X=177753253 Y=1664549467 Z=32677109517 M=7467
A=9490 B=7847 C=8672 X=428207905 Y=4979920296 Z=35772059084 M=8670
A=2068 B=9795 C=7851 X=730628636 Y=4990090061 Z=83620278289 M=2567
A=6073 B=7412 C=7060 X=939675713 Y=7619109398 Z=47366101976 M=8386
A=3254 B=8399 C=7827 X=836803144 Y=6835509765 Z=48312875615 M=2406
A=5701 B=5166 C=9178 X=779248241 Y=2544758687 Z=91573126596 M=7336
A=8325 B=5563 C=7157 X=690251065 Y=9365778971 Z=65839279993 M=1807
A=2029 B=8068 C=9956 X=470751962 Y=6069112545 Z=50574032848 M=1469
A=4206 B=7866 C=8426 X=955482922 Y=4334560877 Z=22745083130 M=4730
A=7618 B=8482 C=9402 X=635117693 Y=9954408040 Z=61869297774 M=2026
A=4691 B=3306 C=9020 X=681916902 Y=4511597992 Z=33704653788 M=3689
A=6166 B=3338 C=7031 X=573055895 Y=5703448000 Z=54768300969 M=5065
A=3964 B=6700 C=9602 X=901313688 Y=9406573699 Z=68462954293 M=4181
A=2799 B=9587 C=7931 X=665020679 Y=9774804350 Z=46854085871 M=9023
A=7152 B=6784 C=6058 X=121675268 Y=6078171603 Z=86297992012 M=5894
A=3484 B=5733 C=5893 X=192970854 Y=6772938774 Z=53682247527 M=4211
A=2779 B=9507 C=6727 X=268599990 Y=3189654694 Z=20637438234 M=7606
A=8734 B=8723 C=6833 X=219313294 Y=3462795662 Z=27007771671 M=1625
A=4686 B=4266 C=6983 X=857015340 Y=9214379082 Z=49079793719 M=5040
A=7375 B=5521 C=5658 X=200726974 Y=8440721957 Z=18658686553 M=5877
A=9110 B=9881 C=5268 X=808128401 Y=3846003288 Z=60861463824 M=3286
A=3363 B=7433 C=8036 X=625029701 Y=9329165855 Z=25033514391 M=7451
A=3348 B=4664 C=9821 X=834270506 Y=1555733565 Z=63552255114 M=8900
A=8686 B=6624 C=8465 X=939432223 Y=5196920693 Z=22323327654 M=1718
A=9222 B=6245 C=6710 X=704307663 Y=3408082604 Z=29191985573 M=3526
A=7376 B=5614 C=7185 X=183380793 Y=7463518861 Z=93129931226 M=2318
A=3837 B=3864 C=8086 X=330212275 Y=5928961873 Z=49507759354 M=3402
A=6278 B=4101 C=5743 X=544989617 Y=1314624463 Z=91351059904 M=8623
A=2351 B=5796 C=6171 X=292342804 Y=8018595364 Z=29483117041 M=7617
A=6348 B=6014 C=9190 X=692964277 Y=6995813870 Z=33646738357 M=3563
A=6309 B=7164 C=7124 X=501274950 Y=4463311167 Z=30730424180 M=8975
A=2060 B=5409 C=8621 X=974855717 Y=7718405188 Z=73608186628 M=1677
A=2409 B=4352 C=9858 X=638309354 Y=5518870660 Z=40549438597 M=5856
A=8293 B=7470 C=5904 X=744714299 Y=5612434087 Z=53818191497 M=5084
A=8332 B=9441 C=9569 X=212550035 Y=1654274024 Z=99523932174 M=9983
A=8365 B=5464 C=9773 X=951365237 Y=5114148883 Z=25489850718 M=5057
A=3257 B=5213 C=6670 X=392634141 Y=1684513255 Z=75599313076 M=3946
A=5353 B=5047 C=6617 X=526664484 Y=4719097357 Z=21856432242 M=2251
A=4181 B=7948 C=5412 X=444728844 Y=1373772038 Z=87653392589 M=6279
A=4848 B=5981 C=5830 X=317895662 Y=8435356350 Z=20686613057 M=3522
A=6897 B=8676 C=6300 X=545897916 Y=2103172715 Z=46925895428 M=5467
A=8093 B=5576 C=9296 X=946812776 Y=2065895982 Z=57179353037 M=8324
A=2629 B=6673 C=9216 X=625736268 Y=5291728056 Z=59589472274 M=7822
A=4779 B=7619 C=8407 X=458805616 Y=4937664113 Z=14264383560 M=8821
A=2741 B=9287 C=5742 X=444617545 Y=6078638582 Z=52382296336 M=2366
A=3072 B=3427 C=7211 X=477998592 Y=9497182937 Z=50966803504 M=4543
A=5648 B=7348 C=8307 X=909926469 Y=9847266995 Z=14828999178 M=6648
A=7652 B=5605 C=8124 X=851731153 Y=7463091391 Z=23824961228 M=1132
A=6286 B=9251 C=6178 X=313551384 Y=9130657037 Z=29212476673 M=6229
A=6623 B=3212 C=5656 X=454733640 Y=3325921267 Z=12440131464 M=4443
A=6348 B=8982 C=9382 X=498420031 Y=9836294418 Z=77879517342 M=6267
A=4790 B=6991 C=8041 X=758453437 Y=4900675000 Z=89865898718 M=4940
A=4214 B=5714 C=7752 X=784069917 Y=5690389073 Z=98313171668 M=3547
A=8206 B=7874 C=8348 X=896394987 Y=1653698400 Z=71025671184 M=9487
A=9937 B=6465 C=5588 X=220745623 Y=6613905851 Z=62765029687 M=7057
A=5341 B=9237 C=7043 X=628967212 Y=8023035069 Z=80419927440 M=6770
A=7193 B=6855 C=8016 X=348390309 Y=3503997949 Z=33413503057 M=7304
A=8681 B=7954 C=6001 X=376340547 Y=9109839699 Z=71802648861 M=2352
A=9148 B=5995 C=9410 X=562434222 Y=8121893860 Z=38493041903 M=5276
A=7025 B=4589 C=6570 X=436264020 Y=7252640280 Z=97309297018 M=6817
A=2634 B=5944 C=6102 X=241446385 Y=5096367173 Z=14516600472 M=6423
A=3735 B=5150 C=7872 X=367749302 Y=9085979687 Z=73603459543 M=4405
A=7334 B=3609 C=6577 X=609027593 Y=5961726730 Z=72814863151 M=1653
A=5094 B=7971 C=9054 X=883147956 Y=1099906543 Z=39224025014 M=7280
A=7336 B=6125 C=8459 X=861739800 Y=6929062361 Z=94869350528 M=4130
A=4752 B=5363 C=9355 X=577673113 Y=2862690727 Z=52261126408 M=4292
A=3737 B=9666 C=8443 X=922544921 Y=9090479046 Z=97042167695 M=1458
A=6319 B=6513 C=8553 X=427396635 Y=4595678419 Z=70331823375 M=6394
A=9839 B=9359 C=7504 X=819863264 Y=8278227999 Z=32359994245 M=7850
A=9465 B=8020 C=5131 X=491676223 Y=3150561370 Z=53574661899 M=4376
A=5253 B=4221 C=9645 X=721867909 Y=5041479307 Z=87754532672 M=9941
A=9228 B=4683 C=8311 X=991029784 Y=5605525190 Z=99998854955 M=3657
A=4043 B=8278 C=6102 X=928581089 Y=6710703155 Z=54550270474 M=1215
A=9837 B=7289 C=7609 X=622551618 Y=5424472309 Z=55545296966 M=4308
A=4339 B=9285 C=8711 X=629632912 Y=4479210138 Z=75258174695 M=8890
A=2336 B=9482 C=9435 X=684059799 Y=6895156890 Z=44078625382 M=5437
A=2644 B=4568 C=7309 X=697952287 Y=1898189232 Z=13377576417 M=3130
A=4052 B=6716 C=5393 X=560134670 Y=1709247772 Z=46232158928 M=7577
A=2418 B=8030 C=9890 X=198284392 Y=7612423691 Z=39737157736 M=6483
A=9199 B=5245 C=7894 X=548137185 Y=9713554899 Z=99834882036 M=7729
A=9426 B=6388 C=8881 X=473300094 Y=6236305812 Z=22360962976 M=6268
A=5267 B=9001 C=5658 X=613945606 Y=7197578961 Z=38494431787 M=8273
A=6133 B=4101 C=6760 X=911646331 Y=7968796168 Z=50211961060 M=4586
A=5840 B=3382 C=7227 X=357238425 Y=4150784817 Z=41640486938 M=9586
A=7046 B=7304 C=9187 X=230952707 Y=1909851644 Z=48931362110 M=6065
A=9429 B=7944 C=5991 X=316726863 Y=4446845076 Z=91560357731 M=3018
A=6889 B=8363 C=7051 X=324632312 Y=9584020235 Z=50884997928 M=4718
A=4948 B=4767 C=8035 X=702031708 Y=1690275437 Z=51036695340 M=8877
A=8278 B=4846 C=6904 X=175520572 Y=6345403813 Z=96497856953 M=3908
A=5928 B=8837 C=7619 X=898507839 Y=8292125683 Z=41799596662 M=3829
A=6728 B=9982 C=9074 X=442719009 Y=4242753384 Z=57231605206 M=7649
A=7647 B=3987 C=8862 X=181375438 Y=1167450956 Z=46897501812 M=5312
A=6343 B=4597 C=5070 X=804681357 Y=6631915595 Z=96754445261 M=4107
A=5379 B=3450 C=7025 X=432012082 Y=8728627773 Z=93703755371 M=3451
A=3145 B=7662 C=5007 X=568744341 Y=6141825211 Z=38631962025 M=9640
A=7241 B=3097 C=9341 X=450223327 Y=8052128648 Z=51639899775 M=8394
A=2235 B=7489 C=9493 X=112431974 Y=9506618413 Z=43198002198 M=4256
A=7025 B=4428 C=5525 X=339710386 Y=6290154896 Z=75243520279 M=5134
A=7041 B=4227 C=5497 X=798383422 Y=2232713938 Z=93013316278 M=5241
A=7194 B=5124 C=8999 X=604203959 Y=9920697080 Z=34511999390 M=4763
A=6444 B=5577 C=6265 X=300830094 Y=5939985576 Z=29225241899 M=2354
A=9981 B=8273 C=5249 X=511178362 Y=9240974656 Z=87312533665 M=1888
A=2234 B=3667 C=9218 X=227846804 Y=7663230781 Z=71774935853 M=1272
A=5693 B=9718 C=5457 X=480464217 Y=7495262420 Z=55701182179 M=5345
A=3546 B=5458 C=9494 X=844510126 Y=4898317972 Z=51030591104 M=2820
A=7308 B=3727 C=7347 X=229631136 Y=2503903747 Z=77450942403 M=2525
A=5619 B=7660 C=6504 X=518681330 Y=8095235144 Z=24060938525 M=3020
A=8885 B=8818 C=9050 X=414283704 Y=1976323595 Z=34143763027 M=4085
A=4293 B=4263 C=8730 X=542967507 Y=6393000003 Z=99240327437 M=6813
A=2955 B=3378 C=6296 X=221533874 Y=1213910010 Z=89249559773 M=3197
A=7671 B=4075 C=5774 X=561053520 Y=3361427594 Z=25521758793 M=2350
A=7854 B=8505 C=8938 X=661285111 Y=2327692824 Z=77401556732 M=2888
A=4498 B=4698 C=6099 X=384389079 Y=4928684423 Z=94950919079 M=3416
A=4996 B=3392 C=5949 X=787058622 Y=8023297136 Z=19965680088 M=8432
A=6181 B=6630 C=8015 X=184942440 Y=1125008710 Z=50867622254 M=8261
A=8918 B=4622 C=7803 X=762906311 Y=1968441944 Z=80698533417 M=4329
A=2879 B=9601 C=6721 X=415634918 Y=5644204305 Z=71394340551 M=4942
A=3052 B=4592 C=7525 X=742964110 Y=3807052591 Z=69254054122 M=4460
A=9235 B=4935 C=6688 X=131668892 Y=9660069488 Z=84955340321 M=8989
A=3982 B=9820 C=8041 X=474867784 Y=3064433510 Z=29027741356 M=6929
A=8910 B=4495 C=7595 X=892611951 Y=9979484666 Z=86192021141 M=2431
A=8448 B=9605 C=6468 X=815306148 Y=5446087535 Z=31742517235 M=3972
A=6002 B=6783 C=9376 X=236200298 Y=7830547256 Z=26871196577 M=2346
A=3684 B=3134 C=5703 X=223976947 Y=8554358963 Z=82846772309 M=1861
A=8627 B=3124 C=5016 X=871704894 Y=6217412330 Z=65589810846 M=9102
A=7064 B=7595 C=8053 X=783581802 Y=9457008384 Z=35151881034 M=6390
A=7321 B=7376 C=6712 X=938471331 Y=3318366768 Z=96448798604 M=4867
A=6209 B=3294 C=8274 X=328315059 Y=7070348524 Z=33047155537 M=2395
A=7967 B=9035 C=8098 X=656104252 Y=8483707867 Z=84118095355 M=3275
A=9413 B=4654 C=8941 X=649697828 Y=6803809954 Z=87106151536 M=7289
A=4051 B=3048 C=5016 X=895544753 Y=2381011960 Z=56675778101 M=8137
A=6687 B=8618 C=7226 X=880602632 Y=7696087473 Z=40754680192 M=1180
A=4999 B=4562 C=8316 X=153225290 Y=3286920106 Z=83774399835 M=9107
A=6479 B=3458 C=8993 X=170242099 Y=1345378456 Z=81117785597 M=5671
A=5476 B=3019 C=8938 X=247024781 Y=8247522425 Z=20500782960 M=6352
A=4329 B=3080 C=8752 X=302807355 Y=2247018236 Z=37107618931 M=6382
A=4628 B=6961 C=7426 X=813998917 Y=3197728578 Z=37490578194 M=8300
A=7845 B=6363 C=7094 X=571191611 Y=9127719485 Z=97791920983 M=4685
A=3955 B=5125 C=9082 X=944760155 Y=4339843538 Z=26379707380 M=9377
A=6849 B=8285 C=5977 X=344445622 Y=3921225173 Z=89802143286 M=3188
A=4080 B=4785 C=5579 X=249933741 Y=5644466226 Z=17053328344 M=1969
A=2593 B=4260 C=9057 X=772784562 Y=2518959838 Z=59143757607 M=9209
A=2135 B=8817 C=9939 X=281323040 Y=7217954630 Z=28453526268 M=4817
A=6787 B=5630 C=6121 X=200599840 Y=4336064002 Z=40528920138 M=3405
A=6047 B=9939 C=8370 X=770228850 Y=6392414435 Z=40622955456 M=7772
A=2037 B=7110 C=9176 X=532368135 Y=6368758652 Z=46041937280 M=8465
A=4530 B=4970 C=7109 X=240965743 Y=2314415703 Z=94577516309 M=7402
A=4689 B=3704 C=6402 X=959322454 Y=4505072613 Z=78161763697 M=2868
A=4978 B=3960 C=8847 X=276512604 Y=9111689219 Z=41170628646 M=4602
A=3746 B=5834 C=8365 X=607376623 Y=6007112951 Z=12698508746 M=9929
A=4681 B=4195 C=8614 X=459705782 Y=1922989222 Z=30035626646 M=6793
A=2432 B=9519 C=8840 X=418764124 Y=9937260446 Z=70939305797 M=1732
A=5839 B=7177 C=8481 X=796234239 Y=3185546448 Z=35961912137 M=9629
A=8236 B=6001 C=8113 X=620456462 Y=8887510457 Z=11555883881 M=6210
A=8451 B=6877 C=5586 X=180080200 Y=4552971115 Z=70663726957 M=6177
A=6376 B=8815 C=9883 X=586303630 Y=9819221302 Z=24084578320 M=9719
A=5679 B=4676 C=7336 X=961929367 Y=5300478995 Z=73110039071 M=1966
A=3316 B=6609 C=7485 X=163178337 Y=6972741243 Z=52084230763 M=6164
A=9488 B=4789 C=6900 X=164719785 Y=9207209913 Z=25212748070 M=2864
A=9478 B=7205 C=5205 X=780468821 Y=2717972007 Z=87413026981 M=7477
A=8556 B=3917 C=8172 X=344303882 Y=4501066858 Z=88148288030 M=6171
A=5932 B=7239 C=5470 X=979151338 Y=6455231640 Z=40706377459 M=6749
A=5866 B=3894 C=6567 X=695323635 Y=1969488635 Z=69579920658 M=4444
A=8444 B=6164 C=7124 X=846598893 Y=2489212396 Z=87590111101 M=7545
A=7780 B=5083 C=8262 X=688178861 Y=8641683688 Z=10651130281 M=9756
A=8321 B=5976 C=8141 X=529291469 Y=7148709020 Z=28336133851 M=3387
A=8365 B=5266 C=9169 X=693812248 Y=1078326736 Z=36551038980 M=2401
A=4970 B=4876 C=5404 X=214749561 Y=7307702379 Z=46874251292 M=6173
A=5155 B=3107 C=6414 X=865603471 Y=1109069451 Z=54249602221 M=1591
A=8802 B=3494 C=6873 X=729261742 Y=3374348467 Z=67709784441 M=9353
A=3474 B=7398 C=6715 X=687757726 Y=1811087507 Z=88884747952 M=4131
A=7491 B=5038 C=5337 X=489428800 Y=7756559421 Z=97364520355 M=5255
A=2699 B=8317 C=7651 X=966069174 Y=2753849245 Z=43271647522 M=5149
A=5354 B=4954 C=7951 X=843709435 Y=1362640431 Z=14399646512 M=4915
A=3119 B=5361 C=7019 X=876213873 Y=3262870686 Z=93870504895 M=6506
A=4336 B=9377 C=5087 X=566390147 Y=1262384742 Z=69465967917 M=8196
A=2907 B=3367 C=6096 X=743445285 Y=7754377040 Z=44505082722 M=4889
A=5432 B=7265 C=6504 X=316758497 Y=5174038282 Z=61692338849 M=1119
A=3540 B=4610 C=9796 X=495219351 Y=8405737909 Z=43789225974 M=7927
A=7624 B=5282 C=6882 X=854199277 Y=8042167279 Z=29307841114 M=3994
A=5201 B=7500 C=6073 X=483381625 Y=7522544851 Z=19629586687 M=2522
A=2236 B=9963 C=6294 X=995672914 Y=7718156021 Z=11911139746 M=1891
A=8872 B=6442 C=5231 X=964013763 Y=8562463484 Z=82197788822 M=6938
A=4830 B=7063 C=6232 X=484910181 Y=6582347788 Z=86629804043 M=4665
A=3108 B=5498 C=6576 X=217109359 Y=3132881058 Z=64366042825 M=7803
A=7475 B=9038 C=5013 X=797323262 Y=8678963951 Z=18332657699 M=7863
A=2295 B=4926 C=7913 X=689128469 Y=1675399900 Z=58674064993 M=7172
A=4973 B=9619 C=5030 X=996352517 Y=8569855734 Z=30231413333 M=7645
A=4299 B=3586 C=7400 X=828305383 Y=6446338019 Z=28067836509 M=3080
A=6280 B=5943 C=5113 X=232861713 Y=2942124078 Z=25478076458 M=9650
A=4813 B=7468 C=5798 X=757184235 Y=8373471714 Z=35647943274 M=4967
A=2580 B=7853 C=7022 X=783352723 Y=9460351621 Z=91297455216 M=4698
A=6304 B=9027 C=6454 X=630132661 Y=3576419919 Z=95952225352 M=3319
A=3674 B=4773 C=9331 X=767800232 Y=5775641557 Z=84060828557 M=6824
A=4126 B=6205 C=6130 X=611726133 Y=9666949347 Z=63031482995 M=5175
A=6502 B=5416 C=5870 X=379573414 Y=4492520880 Z=20734889590 M=8138
A=8654 B=9196 C=8335 X=588627186 Y=9379019922 Z=31021495727 M=3374
A=3777 B=6451 C=6171 X=110885560 Y=7172573340 Z=36520172201 M=1590
A=6150 B=4143 C=5229 X=384903496 Y=2077895303 Z=98399138501 M=1213
A=3896 B=7306 C=8931 X=458806225 Y=1407007186 Z=76138246658 M=1035
A=5951 B=7553 C=8152 X=394569559 Y=5485281623 Z=66022587963 M=2528
A=7093 B=5418 C=6406 X=207270291 Y=5353455006 Z=21814614724 M=9488
A=9345 B=7285 C=6554 X=976911368 Y=9529219433 Z=33379131388 M=2506
A=2101 B=6631 C=9828 X=246162104 Y=4939006700 Z=91062080737 M=1177
A=2576 B=4683 C=7061 X=669276373 Y=5383210397 Z=68698071439 M=7761
A=3676 B=9287 C=7687 X=738920621 Y=4975214680 Z=15354733147 M=9033
A=2609 B=9828 C=9636 X=187321730 Y=9919716116 Z=67694576244 M=8193
A=4522 B=9612 C=9761 X=826281888 Y=2770316739 Z=35735946778 M=4432
A=6743 B=4891 C=9330 X=381596406 Y=8306124890 Z=99189536598 M=5659
A=9809 B=8231 C=8592 X=202076184 Y=3322075026 Z=27116011108 M=7174
A=4594 B=7276 C=6679 X=230267903 Y=6704296101 Z=37211336209 M=4303
A=5843 B=6237 C=9796 X=418022809 Y=4253021841 Z=74773218563 M=7585
A=8658 B=9336 C=8082 X=212902567 Y=2810546714 Z=35447920409 M=4283
A=5679 B=5121 C=5571 X=147873704 Y=9899988367 Z=10895885654 M=5566
A=7567 B=6447 C=9084 X=181470434 Y=9755226362 Z=34984401998 M=2904
A=6327 B=9010 C=8222 X=178566189 Y=5660145803 Z=48467175061 M=8549
A=8830 B=9177 C=8084 X=608508131 Y=5832099609 Z=14630822260 M=4076
A=4892 B=7806 C=7589 X=518155469 Y=6726987118 Z=90453647724 M=7117
A=9214 B=4302 C=6873 X=211682040 Y=2313411252 Z=36785301893 M=1014
A=3966 B=7875 C=9207 X=114932349 Y=5849663351 Z=77820542039 M=4221
A=4861 B=4835 C=5984 X=102055477 Y=2671562498 Z=22170782866 M=6002
A=6117 B=4175 C=8343 X=180583799 Y=1827049036 Z=15445925612 M=6291
A=7386 B=7613 C=5924 X=766466055 Y=6129782114 Z=62944643894 M=7859
A=8614 B=7454 C=8807 X=109220346 Y=2101833518 Z=12315316868 M=9991
A=9894 B=8390 C=6891 X=498161011 Y=4170314091 Z=10088092422 M=2647
A=4808 B=8386 C=8790 X=693982049 Y=2040444262 Z=78349886225 M=5383
A=6682 B=6962 C=5340 X=106235138 Y=6982655812 Z=44329504404 M=1364
A=6580 B=3425 C=7131 X=920804849 Y=6505781576 Z=50382764278 M=9893
A=8850 B=8584 C=8715 X=621059144 Y=2007286158 Z=71620213807 M=6075
A=8904 B=5125 C=7646 X=494593537 Y=6534219721 Z=50550502985 M=2399
A=6103 B=4074 C=6043 X=496177645 Y=4703097753 Z=68496636634 M=9431
A=7951 B=5901 C=8578 X=365255434 Y=5042415199 Z=62768194274 M=8499
A=4355 B=4158 C=5691 X=592001341 Y=1251218148 Z=54537620645 M=2681
A=3196 B=8185 C=6159 X=816339541 Y=5711783704 Z=87993524643 M=3256
A=6121 B=4854 C=9104 X=687243742 Y=8326636883 Z=43170509320 M=1664
A=9282 B=3087 C=9845 X=937532043 Y=8586436529 Z=98664648994 M=5890
A=9422 B=5668 C=8381 X=663604918 Y=3234597651 Z=22327727092 M=8231
A=3786 B=9762 C=9665 X=101976352 Y=5766526191 Z=47367690592 M=5699
A=7100 B=6375 C=6882 X=527966576 Y=6201283384 Z=85129200742 M=7061
A=9298 B=5352 C=5528 X=421549941 Y=2634429424 Z=84019485866 M=7526
A=3577 B=3637 C=6441 X=970637764 Y=7852413673 Z=53283379032 M=1292
A=2888 B=5802 C=5697 X=197862978 Y=3040470175 Z=56746074597 M=7517
A=7723 B=8579 C=5935 X=831431915 Y=3566642710 Z=52809701661 M=8917
A=9329 B=3068 C=8104 X=315501693 Y=2350486991 Z=93260408031 M=9756
A=5340 B=8522 C=6001 X=464324754 Y=5594368096 Z=34170410861 M=7153
A=9440 B=6722 C=5231 X=160041749 Y=9764304825 Z=65678486487 M=7210
